id,content
Dark Mode_transformed,switch dark mode change background colors dark rather light
App WIKI_transformed,app has wiki walk users interacting all features detail
Refinement_transformed,refine performance models based what generated content is approved denied
Fine-Tuning_transformed,fine tune custom models data improve their performance
Lower-Level Artifact Generation_transformed,generate lower level higher level
Higher-Level Artifact Generation_transformed,generate higher level requirements sets lower level requirements
Summarize NL content_transformed,summarize content long form
Code Summarization_transformed,generate summaries code files or blocks
Model Selection_transformed,select models use generation tasks
Artifact Layer Coverage_transformed,generate coverage information relationships two layers
Trace Matrix Table_transformed,view sort group filter matrix showing what are related
Trace Link Approval Display_transformed,display generated trace links approval
Artifact Tree Nodes & Edges_transformed,interact trace links tree
Custom Attributes Values_transformed,store values existing custom attributes
Custom Attributes Layout_transformed,manage what custom attributes appear different types layout they appear
Project Exporting_transformed,export data file download
Custom Attributes Management_transformed,create custom attributes an track import export additional fields
Model Evaluation_transformed,evaluate how well models perform tasks
Model Sharing_transformed,Share custom models between users.
Job Status_transformed,view status progress jobs
Artifact Table_transformed,view sort group filter table
Account Editing_transformed,Edit account details.
TIM Tree_transformed,view an interactive graph how all types are related
Websocket Messages_transformed,receive updates data when another user or asynchronous job updates something
Change Commits_transformed,store commits undo redo changes version
Snackbar Messages_transformed,present snackbar messages when things are saved uploads are scheduled or errors occur
Email Updates_transformed,send email updates account creation password reset
Project Versions_transformed,create new versions upload files existing ones delete versions no longer being used
Projects_transformed,manage details projects or delete them
Project Members Display_transformed,display members
Project Rules_transformed,manage rules that generate warnings when broken
View Display_transformed,display views subsets data
Artifact Display_transformed,display content relationships an
Model Management_transformed,manage custom models creating editing deleting them
Model Pre-Training_transformed,pretrain models documentation improve performance specific domain
Trace Link Generation_transformed,generate trace links
Model Training_transformed,train model existing data improve performance tasks specific domain
Privacy Policy_transformed,View our data privacy policy.
Default Rules_transformed,Generate built-in warnings by default.
Attack Protection_transformed,Protect against common attacks.
Project Layout_transformed,generate layout or subset
Project Members Management_transformed,manage members their permissions
Artifact Type Directions_transformed,define rules restrict what types trace links are allowed types
View Management_transformed,manage creation retrieval updating deletion views
Delta View_transformed,display difference two versions what was added modified removed or related changed
Project Rules Display_transformed,display warnings when rules are violated
View Synchronization_transformed,keep projects uptodate other users asynchronous jobs make changes
Trace Link Approval_transformed,approve decline generated trace links
Project Version List_transformed,view load existing versions
Project List_transformed,View and load existing projects. 
Job Submission_transformed,submit jobs create update data bulk
TIM Preview_transformed,view preview tim tree confirming its creation
Project Trace Link Uploading_transformed,upload matrices trace links two types csv or json format
Project Artifact Uploading_transformed,upload sets same type csv or json format
Bulk Project Creation_transformed,quickly create set csv json files tim outline what files correspond what data
Standard Project Creation_transformed,create importing trace links one file timeand view tim summary being created
Password Reset_transformed,Reset and change account passwords.
Account Login_transformed,log existing accounts access app
Account Creation_transformed,Create new accounts.
GitHub Integration_transformed,import code github sync their data github needed
Jira Integration_transformed,import projects jira sync data jira needed
Trace Link Management_transformed,manage creation retrieval updating deletion trace links
