id,content
Artifact Management_transformed,manage creation retrieval updating deletion
Artifact Search_transformed,search all
Artifact Tree Window_transformed,change viewport tree graph zoom pan what is view
FTA View_transformed,all fta specific document functionality such logical nodes
Safety Case View_transformed,all safetycase specific document functionality such creating safety case nodes
Artifact Subtree_transformed,track subtrees so that their children be hidden related be displayed
Artifact Type Management_transformed,manage types how they be related
Save dark mode setting_transformed,changes dark mode sessions
Toggle dark mode_transformed,toggle dark mode change app colors dark
Link to project WIKI_transformed,click link settings view user guides app
Leave a project_transformed,remove myself long am not last owner
Group artifacts by change impact_transformed,group most likely impacted change
Cluster groups of artifacts_transformed,cluster groups same level downstream tasks
Provide feedback on generations_transformed,provide feedback generations help output meet goals
Fine tune artifact generation models_transformed,finetune model adjust generation specific format domain
Generate lower-level artifact content_transformed,generate content lowerlevel content higher level
Generate higher-level artifact content_transformed,generate content higherlevel content lower level
Summarize natural language_transformed,summarize content written natural language reduce length while capturing overall functionality
Summarize python code_transformed,summarize python code reduce length while capturing overall functionality
Evaluate model performance on trace prediction _transformed,evaluate model performance based confirmed rejected trace links
Fine tune base models_transformed,finetune base model downstream tasks
Select custom models for tasks_transformed,select which predefined model use task
Switch project versions_transformed,switch versions
Display interactive walkthrough_transformed,walkthrough application
Display orphan artifacts_transformed,what are missing traces two layers
Display over-coverage_transformed,overcoverage two layers
Display under-coverage_transformed,undercoverage two layers
Filter trace matrix rows and columns_transformed,filter trace matrix table rows columns type
Search artifacts_transformed,search their name body type
Select trace links_transformed,select trace link view more details
Upload files to project view_transformed,upload flat files current view
Delete project versions_transformed,delete version
Upload files to project version_transformed,upload new flat files version
Create project versions_transformed,create new major minor or revision version
Delete projects_transformed,an owner delete
Edit project details_transformed,an admin edit name description
Edit custom attribute values_transformed,edit custom attribute values
Export custom attribute values_transformed,export custom attributes values csv or json
Import custom attributes_transformed,import custom attributes csv or json
Display trace matrix table_transformed,view trace matrix table
Display artifact table_transformed,view table
Undo change commits_transformed,undo committed change
Redo change commits_transformed,redo committed change
Delete attribute layouts_transformed,delete an existing attribute layout
Create attribute layouts_transformed,add new attribute layout
Edit attribute layouts_transformed,edit an existing attribute layout
Display attribute layouts by artifact type_transformed,different layouts custom attributes based an type
Create accounts through SSO_transformed,create an account using sso
Display un-reviewed links as dashed_transformed,unreviewed trace links dotted lines chips
Display custom attribute values_transformed,custom attributes values
Edit custom attributes_transformed,edit custom attribute
Delete custom attributes_transformed,delete custom attribute
Add custom attributes_transformed,add custom attribute
Synchronize GitHub data_transformed,synchronize data coming github
Import GitHub to projects_transformed,import github an existing
Disconnect GitHub integration_transformed,disconnect github account safa account
Import GitHub as project_transformed,import github
Display GitHub repositories by organization_transformed,list github repositories
Disconnect Jira integration_transformed,disconnect jira account safa account
Connect Jira integration_transformed,link jira account safa account
Connect GitHub integration_transformed,link github account safa account
Configure model training variables_transformed,configure advanced training variables
Pre-train on generated documents and repositories_transformed,pretrain model generated documents repositories
Revert model training tasks_transformed,revert most recent model training changes
Display model training history_transformed,view records what trained model
Display model training step_transformed,what step pretraining that model is
Input keywords to compile pre-training materials_transformed,input keywords compile documents repositories train model
Pre-train on repositories_transformed,pretrain model specific code repositories
Generate TIM files_transformed,generate tim file
Share custom models_transformed,share model another
Edit custom models_transformed,edit model
Use custom models from other projects_transformed,use model an existing
Create views from subtrees_transformed,create view parent list child types
Create table views_transformed,create table view that will not display graph mode
Edit project members_transformed,an owner or admin edit permission level member if they have lower permissions myself
Add project members_transformed,add new member permission level equal or lower myself
Remove project members_transformed,an owner or admin remove member permission level equal or lower myself
Display project members_transformed,members
Search project members_transformed,search members
Log in_transformed,log valid credentials
Display hidden child count_transformed,how many children are hidden parent
Display delta view layout_transformed,formatted layout when requesting delta including dealing not present current version
Display job status_transformed,current status job progress completed or failed
Display jobs_transformed,jobs created
Display Jira projects by organization_transformed,list projects specific jira website
Synchronize Jira data_transformed,synchronize data coming jira
Import Jira as project_transformed,import jira
Import Jira to projects_transformed,import jira an existing
Create jobs_transformed,create job asynchronous execution
Display job logs_transformed,logs occurring execution
Generate layout of artifacts_transformed,generate layout views
Add artifacts to a layout_transformed,add new an existing layout so that is placed well current layout
Log out_transformed,I can log out.
Save current graph layout_transformed,layout moving them
Select and load project versions_transformed,select load version
Update jobs in real-time_transformed,realtime job updates progress jobs
Graph is responsive after changing modes_transformed,graph interactions load changing display mode
Graph is responsive on initial page load_transformed,graph interactions load initial page load
Graph is responsive after changing pages_transformed,graph interactions load changing pages
Display artifact search match count_transformed,how many match search
Create artifact types when creating artifacts_transformed,add new type when creating new
Sort artifact rows_transformed,sort their fields
Group artifact rows_transformed,group their fields
Display count of generated links in groups_transformed,counts grouped generated trace links
Group generated links_transformed,group generated trace links their fields
Sort generated links_transformed,sort trace links their fields
Un-review generated links_transformed,unreview an approved or declined trace link
Display users currently on a view_transformed,who is working current view
Delete an account_transformed,delete account typing password
Receive notifications from layout updates_transformed,get notified when layout has been updated
Display generated links_transformed,approved declined unreviewed trace links
Generate trace links_transformed,generate list trace links using trained model
Edit a password_transformed,edit password while logged
Create projects through creation steps_transformed,create standard steps upload files
Delete uploaded artifact files_transformed,delete set
Create projects from files in bulk_transformed,create set flat files representing trace links
Display artifact warnings_transformed,an warnings graph table views
Display TIM tree graph_transformed,tim tree
Display default warnings for safety cases_transformed,default warnings safety case structure
Synchronize project data_transformed,automatically download any changes data other users or asynchronous jobs
Create change commits_transformed,create commit change entities
Display errors in snackbar_transformed,will snackbar error when an api request fails
Display actions on notifications_transformed,perform an action result notification
Download project version files_transformed,download current version csv or json
Display current view_transformed,what view am currently viewing
Delete trace links_transformed,delete trace link
Delete custom models_transformed,delete model
Create custom models_transformed,create new model
Train on project trace links_transformed,train model existing trace links
Generate project layout during import_transformed,generate projects layout importing
Pre-train on documents_transformed,pretrain model uploaded documents
Generate FMEA custom attributes_transformed,generate fmea attributes traced children
Delete rules_transformed,I can delete a rule.
Edit rules_transformed,I can edit a rule.
Create rules_transformed,create new rule
Delete jobs_transformed,delete logged job
Create empty projects_transformed,create an empty
Duplicate artifacts_transformed,I can duplicate an artifact.
Display tree of artifacts_transformed,view tree graph
Display job progress_transformed,current progress job
Cancel jobs in progress_transformed,cancel job that is progress
Restore last view_transformed,last view was loading
Filter artifact table by delta type_transformed,delta view filter table delta type
Display artifact table delta_transformed,delta state table view
Display artifact’s views_transformed,when viewing an navigate views that it is visible
Load default project version_transformed,set default version view that is loaded when log
Delete views_transformed,I can delete a view.
Delete uploaded trace files_transformed,delete set trace links
Preview uploaded trace links_transformed,preview list trace links loaded file
Preview uploaded artifacts_transformed,preview list loaded file
Send account confirmation email_transformed,when create an account will receive an email confirm account
Display safety case artifact shapes_transformed,proper shapes safety case nodes
Display FTA node shapes_transformed,proper shapes fta nodes
Create safety case artifacts_transformed,when viewing safety case view create safety case
Set safety case type_transformed,when creating safety case set safety case type
Create FTA artifacts_transformed,when viewing an fta view create fta type
Display artifact’s delta_transformed,select an difference versions
Display subtree delta types_transformed,delta states all hidden child parent
Display artifact delta colors_transformed,each delta state its color
Display trace link delta colors_transformed,corresponding colors each trace delta state
Display all delta artifacts_transformed,all added modified removed
Enable delta view_transformed,enable delta view selecting version compare
Disable delta view_transformed,I can disable delta view.
Create views from artifacts_transformed,create new document or their types
Edit views_transformed,edit name
Display filtered artifact views_transformed,only links that are associated current view
Update project on view data change_transformed,will be updated when someone else edits view
Switch views_transformed,switch views
Edit artifact type icons_transformed,change icon an type
Delete type direction rules_transformed,remove rule what types trace link is allowed
Display artifact subtree warnings_transformed,any errors parent node hidden child nodes
Hide artifact subtrees_transformed,hide an subtree
Display artifact subtrees_transformed,show an subtree
Highlight artifact subtrees_transformed,highlight an subtree
Create trace links_transformed,create new trace link
Create artifacts_transformed,create new
Re-center graph window_transformed,recenter graph window
Filter displayed artifacts_transformed,filter what are displayed their attributes
Delete artifacts_transformed,I can delete an artifact.
Display parent and child artifacts_transformed,an parent child
Edit artifacts_transformed,I can edit an artifact.
Display artifact content_transformed,an type name body
Select artifacts_transformed,select an view more details
Decline generated links_transformed,decline an unreviewed or approved trace link
Approve generated links_transformed,approve an unreviewed or declined trace link
Search projects_transformed,search projects name
Select projects_transformed,select its versions
Display project TIM preview _transformed,view preview tim graph being created
Create trace matricies_transformed,create set trace links type they join
Generate trace links on upload_transformed,generate trace links
Upload trace matrix files_transformed,upload sets trace links two types
Upload artifact type files_transformed,upload file containing want create
Create artifact types_transformed,create sets their type
Reset my password_transformed,I can reset my password.
Send password reset email_transformed,request password reset email
Create an account_transformed,create an account an unused email
